Team_1,Team_2,Ground,toss_winner,Bat,Winner,Toss
NewZealand,Sri Lanka,Pallekele,NewZealand,2nd,NewZealand,loss
NewZealand,Sri Lanka,Pallekele,NewZealand,2nd,NewZealand,loss
Sri Lanka,NewZealand,Pallekele,Sri Lanka,first,Sri Lanka,win
Bangladesh,Zimbabwe,Dhaka,Bangladesh,2nd,Bangladesh,win
Afghanistan,Zimbabwe,Dhaka,Afghanistan,first,Afghanistan,loss
Afghanistan,Bangladesh,Dhaka,Afghanistan,first,Afghanistan,win
Scotland,Netherlands,Dublin (Malahide),Scotland,first,Scotland,loss
Ireland,Scotland,Dublin (Malahide),Ireland,2nd,Ireland,loss
Bangladesh,Zimbabwe,Chattogram,Bangladesh,first,Bangladesh,loss
Netherlands,Ireland,Dublin (Malahide),Netherlands,2nd,Netherlands,loss
India,South Africa,Mohali,India,2nd,India,win
Scotland,Netherlands,Dublin (Malahide),Scotland,2nd,Scotland,loss
Zimbabwe,Afghanistan,Chattogram,Zimbabwe,2nd,Zimbabwe,loss
Ireland,Scotland,Dublin (Malahide),Ireland,first,Ireland,loss
Bangladesh,Afghanistan,Chattogram,Bangladesh,2nd,Bangladesh,win
South Africa,India,Bengaluru,South Africa,2nd,South Africa,loss
Sri Lanka,Pakistan,Lahore,Sri Lanka,first,Sri Lanka,loss
Oman,Ireland,Al Amerat,Oman,first,Oman,loss
Ireland,Hong Kong,Al Amerat,Ireland,first,Ireland,win
Sri Lanka,Pakistan,Lahore,Sri Lanka,first,Sri Lanka,win
Oman,Netherlands,Al Amerat,Oman,2nd,Oman,loss
Sri Lanka,Pakistan,Lahore,Sri Lanka,first,Sri Lanka,win
Netherlands,Hong Kong,Al Amerat,Netherlands,first,Netherlands,loss
Ireland,Hong Kong,Abu Dhabi,Ireland,2nd,Ireland,loss
Netherlands,Kenya,ICCA Dubai,Netherlands,first,Netherlands,win
Oman,U.A.E.,Abu Dhabi,Oman,2nd,Oman,win
P.N.G.,Bermuda,ICCA Dubai,P.N.G.,2nd,P.N.G.,win
Netherlands,Namibia,ICCA Dubai,Netherlands,first,Netherlands,win
Scotland,Kenya,ICCA 2 Dubai,Scotland,first,Scotland,win
U.A.E.,Ireland,Abu Dhabi,U.A.E.,2nd,U.A.E.,win
P.N.G.,Namibia,ICCA 2 Dubai,P.N.G.,first,P.N.G.,win
Oman,Hong Kong,Abu Dhabi,Oman,2nd,Oman,win
Scotland,P.N.G.,ICCA Dubai,Scotland,first,Scotland,win
U.A.E.,Hong Kong,Abu Dhabi,U.A.E.,2nd,U.A.E.,loss
Ireland,Oman,Tolerance Oval,Ireland,first,Ireland,loss
Kenya,Bermuda,ICCA Dubai,Kenya,first,Kenya,win
Namibia,Bermuda,ICCA 2 Dubai,Namibia,2nd,Namibia,win
Canada,Ireland,Abu Dhabi,Canada,first,Canada,win
P.N.G.,Netherlands,ICCA Dubai,P.N.G.,2nd,P.N.G.,loss
Hong Kong,Canada,Tolerance Oval,Hong Kong,first,Hong Kong,win
Scotland,Bermuda,Dubai (DSC),Scotland,first,Scotland,loss
Namibia,Kenya,Dubai (DSC),Namibia,first,Namibia,win
Oman,Canada,Abu Dhabi,Oman,2nd,Oman,loss
Netherlands,Bermuda,Dubai (DSC),Netherlands,first,Netherlands,win
Australia,Sri Lanka,Adelaide,Australia,first,Australia,loss
P.N.G.,Kenya,Dubai (DSC),P.N.G.,first,P.N.G.,loss
Netherlands,Scotland,Dubai (DSC),Netherlands,2nd,Netherlands,win
U.A.E.,Canada,Abu Dhabi,U.A.E.,first,U.A.E.,loss
Netherlands,U.A.E.,Dubai (DSC),Netherlands,2nd,Netherlands,loss
Namibia,Oman,Dubai (DSC),Namibia,first,Namibia,win
Australia,Sri Lanka,Brisbane,Australia,2nd,Australia,loss
Scotland,U.A.E.,Dubai (DSC),Scotland,first,Scotland,win
Oman,Hong Kong,Dubai (DSC),Oman,first,Oman,win
Scotland,Oman,ICCA Dubai,Scotland,2nd,Scotland,loss
England,NewZealand,Christchurch,England,2nd,England,win
Australia,Sri Lanka,Melbourne,Australia,2nd,Australia,win
Netherlands,Ireland,Dubai (DSC),Netherlands,first,Netherlands,loss
P.N.G.,Namibia,Dubai (DSC),P.N.G.,first,P.N.G.,win
Ireland,Namibia,Dubai (DSC),Ireland,first,Ireland,win
Netherlands,P.N.G.,Dubai (DSC),Netherlands,2nd,Netherlands,loss
NewZealand,England,Wellington,NewZealand,first,NewZealand,loss
Bangladesh,India,Delhi,Bangladesh,2nd,Bangladesh,win
NewZealand,England,Nelson,NewZealand,first,NewZealand,win
Australia,Pakistan,Canberra,Australia,2nd,Australia,loss
India,Bangladesh,Rajkot,India,2nd,India,win
England,NewZealand,Napier,England,first,England,loss
Australia,Pakistan,Perth,Australia,2nd,Australia,win
India,Bangladesh,Nagpur,India,first,India,loss
West Indies,Afghanistan,Lucknow,West Indies,first,West Indies,loss
Afghanistan,West Indies,Lucknow,Afghanistan,first,Afghanistan,win
Afghanistan,West Indies,Lucknow,Afghanistan,first,Afghanistan,win
India,West Indies,Hyderabad (Deccan),India,2nd,India,win
West Indies,India,Thiruvananthapuram,West Indies,2nd,West Indies,win
India,West Indies,Mumbai,India,first,India,loss
India,Sri Lanka,Indore,India,2nd,India,win
India,Sri Lanka,Pune,India,first,India,loss
Ireland,West Indies,St Georges,Ireland,first,Ireland,win
West Indies,Ireland,Basseterre,West Indies,2nd,West Indies,win
India,NewZealand,Auckland,India,2nd,India,win
Pakistan,Bangladesh,Lahore,Pakistan,2nd,Pakistan,loss
Pakistan,Bangladesh,Lahore,Pakistan,2nd,Pakistan,loss
India,NewZealand,Auckland,India,2nd,India,loss
